398,"SELECT  top # p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n JOIN PhotoPrimary p ON n.objID=p.objID"
2019-11-10 00:04:00,1
2019-11-10 00:06:00,1
2019-11-10 00:08:00,1
2019-11-10 00:09:00,1
2019-11-10 00:14:00,1
2019-11-10 00:16:00,1
2019-11-10 00:23:00,1
2019-11-10 00:28:00,1
2019-11-10 00:33:00,1
2019-11-10 00:40:00,1
2019-11-10 00:47:00,1
2019-11-10 00:49:00,1
2019-11-10 00:54:00,1
2019-11-10 00:56:00,1
2019-11-10 01:01:00,1
2019-11-10 01:05:00,4
2019-11-10 01:07:00,1
2019-11-10 01:09:00,1
2019-11-10 01:12:00,1
2019-11-10 01:15:00,1
2019-11-10 01:18:00,1
2019-11-10 01:21:00,1
2019-11-10 01:25:00,1
2019-11-10 01:30:00,1
2019-11-10 01:34:00,1
2019-11-10 01:39:00,1
2019-11-10 01:44:00,1
2019-11-10 01:48:00,1
2019-11-10 01:53:00,1
2019-11-10 01:57:00,1
2019-11-10 02:02:00,1
2019-11-10 02:11:00,2
2019-11-10 02:16:00,1
2019-11-10 02:19:00,1
2019-11-10 02:28:00,2
2019-11-10 02:30:00,1
2019-11-10 02:32:00,1
2019-11-10 02:37:00,1
2019-11-10 02:41:00,1
2019-11-10 02:46:00,2
2019-11-10 02:50:00,1
2019-11-10 02:55:00,2
2019-11-10 02:57:00,1
2019-11-10 02:59:00,1
2019-11-10 03:01:00,1
2019-11-10 03:03:00,1
2019-11-10 03:07:00,1
2019-11-10 03:10:00,1
2019-11-10 03:15:00,1
2019-11-10 03:19:00,1
2019-11-10 03:21:00,1
2019-11-10 03:25:00,1
2019-11-10 03:30:00,1
2019-11-10 03:35:00,1
2019-11-10 03:39:00,1
2019-11-10 03:44:00,1
2019-11-10 03:48:00,1
2019-11-10 03:53:00,1
2019-11-10 03:57:00,1
2019-11-10 03:59:00,1
2019-11-10 04:01:00,1
2019-11-10 04:05:00,1
2019-11-10 04:10:00,1
2019-11-10 04:15:00,1
2019-11-10 04:19:00,1
2019-11-10 04:28:00,1
2019-11-10 04:33:00,2
2019-11-10 04:40:00,1
2019-11-10 04:45:00,1
2019-11-10 04:51:00,3
2019-11-10 04:56:00,1
2019-11-10 04:58:00,2
2019-11-10 05:03:00,1
2019-11-10 05:07:00,1
2019-11-10 05:10:00,1
2019-11-10 05:12:00,1
2019-11-10 05:19:00,1
2019-11-10 05:22:00,1
2019-11-10 05:30:00,1
2019-11-10 05:37:00,1
2019-11-10 05:44:00,1
2019-11-10 05:46:00,1
2019-11-10 05:58:00,1
2019-11-10 06:03:00,1
2019-11-10 06:07:00,1
2019-11-10 06:12:00,1
2019-11-10 06:19:00,1
2019-11-10 06:28:00,1
2019-11-10 06:33:00,1
2019-11-10 06:35:00,1
2019-11-10 06:37:00,1
