23,"select DISTINCT TOP # G.objid, G.ra, G.dec, G.u, G.g, G.r, G.i, G.z, G.fieldID, G.specobjid, S.z, S.veldisp, s.elodieFeH from Galaxy G  join Frame F on F.fieldID = G.fieldID  join SpecObj S on S.specObjID = G.specObjID"
2019-11-13 13:00:00,1
2019-11-13 13:05:00,1
2019-11-13 13:12:00,1
2019-11-13 13:17:00,1
2019-11-13 13:21:00,2
2019-11-13 13:23:00,1
2019-11-13 14:03:00,1
2019-11-13 14:04:00,2
2019-11-13 14:05:00,1
2019-11-13 14:07:00,1
2019-11-13 14:16:00,1
2019-11-13 14:19:00,1
2019-11-13 18:04:00,1
2019-11-13 18:09:00,1
2019-11-13 18:12:00,1
2019-11-13 18:14:00,1
2019-11-13 18:32:00,1
2019-11-13 18:36:00,1
2019-11-13 18:38:00,1
2019-11-13 20:50:00,1
2019-11-13 21:36:00,1
