48,"SELECT TOP #  p.objid,p.ra,p.dec,petroMag_u,petroMagErr_u,petroMag_g,petroMagErr_g,petroMag_r,petroMagErr_r,petroMag_i,petroMagErr_i,petroMag_z,petroMagErr_z FROM PhotoObj AS p WHERE   p.objid = #"
2019-11-13 13:24:00,1
2019-11-13 16:36:00,2
2019-11-13 16:37:00,1
2019-11-13 16:38:00,1
2019-11-13 16:41:00,1
2019-11-13 16:42:00,1
2019-11-13 16:43:00,1
2019-11-13 16:44:00,1
2019-11-13 16:45:00,1
2019-11-13 16:46:00,1
2019-11-13 16:47:00,1
2019-11-13 16:48:00,1
2019-11-13 16:50:00,2
2019-11-13 16:51:00,1
2019-11-13 16:52:00,1
2019-11-13 16:53:00,2
2019-11-13 16:54:00,1
2019-11-13 17:04:00,1
2019-11-13 17:05:00,2
2019-11-13 17:07:00,1
2019-11-13 17:08:00,2
2019-11-13 17:10:00,2
2019-11-13 17:11:00,1
2019-11-13 17:12:00,1
2019-11-13 17:25:00,1
2019-11-13 17:26:00,1
2019-11-13 17:28:00,2
2019-11-13 17:29:00,1
2019-11-13 17:31:00,1
2019-11-13 17:32:00,1
2019-11-13 17:33:00,2
2019-11-13 17:34:00,1
2019-11-13 17:35:00,1
2019-11-13 17:36:00,2
2019-11-13 17:37:00,1
2019-11-13 17:38:00,1
2019-11-13 17:41:00,1
2019-11-13 17:42:00,2
