710,select * from sqllogall2#_#_#h_to_#_#h where mm = # and dd = # and hh = #
2019-11-17 13:17:00,5
2019-11-17 13:18:00,33
2019-11-17 13:19:00,31
2019-11-17 13:20:00,31
2019-11-17 13:21:00,30
2019-11-17 13:22:00,29
2019-11-17 13:23:00,28
2019-11-17 13:24:00,26
2019-11-17 13:25:00,25
2019-11-17 13:26:00,25
2019-11-17 13:27:00,24
2019-11-17 13:28:00,23
2019-11-17 13:29:00,23
2019-11-17 13:30:00,17
2019-11-17 13:31:00,20
2019-11-17 13:32:00,20
2019-11-17 13:33:00,18
2019-11-17 13:34:00,18
2019-11-17 13:35:00,20
2019-11-17 13:36:00,19
2019-11-17 13:37:00,20
2019-11-17 13:38:00,18
2019-11-17 13:39:00,20
2019-11-17 13:40:00,18
2019-11-17 13:41:00,18
2019-11-17 13:42:00,18
2019-11-17 13:43:00,17
2019-11-17 13:44:00,17
2019-11-17 13:45:00,15
2019-11-17 13:46:00,15
2019-11-17 13:47:00,13
2019-11-17 13:48:00,13
2019-11-17 13:49:00,13
2019-11-17 13:50:00,14
2019-11-17 13:51:00,13
2019-11-17 13:52:00,3
