42,"SELECT g.objID, g.ra, g.dec, q.z, q.zErr, q.class, q.subclass FROM GALAXY as g, SpecObjAll as q WHERE g.objID = q.bestObjID and (g.ra between # and #) and (g.dec between # and #)"
2019-11-17 00:19:00,1
2019-11-17 00:51:00,1
2019-11-17 06:35:00,1
2019-11-17 06:42:00,1
2019-11-17 06:54:00,1
2019-11-17 06:55:00,3
2019-11-17 07:09:00,1
2019-11-17 07:11:00,1
2019-11-17 07:12:00,1
2019-11-17 07:13:00,2
2019-11-17 07:17:00,1
2019-11-17 07:43:00,1
2019-11-17 08:51:00,1
2019-11-17 08:56:00,1
2019-11-17 08:59:00,1
2019-11-17 09:55:00,1
2019-11-17 09:57:00,1
2019-11-17 10:12:00,1
2019-11-17 12:50:00,1
2019-11-17 12:57:00,1
2019-11-17 13:08:00,1
2019-11-17 13:38:00,1
2019-11-17 14:53:00,4
2019-11-17 18:15:00,2
2019-11-17 19:53:00,1
2019-11-17 21:42:00,1
2019-11-17 21:47:00,1
2019-11-17 21:58:00,1
2019-11-17 22:05:00,1
2019-11-17 22:08:00,1
2019-11-17 22:12:00,1
2019-11-17 22:13:00,1
2019-11-17 22:19:00,2
2019-11-17 22:21:00,1
