29,"SELECT  p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n JOIN PhotoPrimary p ON n.objID=p.objID"
2019-11-20 01:21:00,1
2019-11-20 01:32:00,1
2019-11-20 01:37:00,2
2019-11-20 01:46:00,1
2019-11-20 02:12:00,1
2019-11-20 02:13:00,1
2019-11-20 02:14:00,1
2019-11-20 02:15:00,4
2019-11-20 02:16:00,1
2019-11-20 02:17:00,2
2019-11-20 02:18:00,2
2019-11-20 02:19:00,1
2019-11-20 02:22:00,1
2019-11-20 02:30:00,2
2019-11-20 02:32:00,1
2019-11-20 02:33:00,1
2019-11-20 02:34:00,1
2019-11-20 02:35:00,1
2019-11-20 02:36:00,1
2019-11-20 02:38:00,1
2019-11-20 02:50:00,1
2019-11-20 02:51:00,1
