26,"SELECT TOP #  cast(str(s.ra,#,#) as float) as ra,cast(str(s.[dec],#,#) as float) as dec,s.z,p.objID,p.r,p.u  FROM ..SpecObj as s  JOIN ..PhotoObj AS p ON s.bestObjID = p.objID  JOIN dbo.fGetObjFromRect(#,#,#,#) AS b ON s.bestobjid = b.objID  WHERE s.zWarning = # AND (s.class = &&&) AND ( p.type = # OR p.type = #)"
2019-11-22 05:28:00,1
2019-11-22 05:33:00,2
2019-11-22 05:39:00,4
2019-11-22 06:17:00,1
2019-11-22 06:23:00,2
2019-11-22 06:24:00,3
2019-11-22 06:25:00,1
2019-11-22 06:28:00,1
2019-11-22 06:31:00,2
2019-11-22 06:32:00,1
2019-11-22 06:45:00,1
2019-11-22 06:46:00,1
2019-11-22 06:48:00,1
2019-11-22 07:01:00,1
2019-11-22 07:13:00,1
2019-11-22 07:14:00,1
2019-11-22 07:54:00,1
2019-11-22 07:55:00,1
