27,"SELECT p.objId, p.ra,p.dec,p.petror9#_r, p.devAB_r,     p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i,      s.z, s.plate, s.mjd, s.fiberid, n.sersic_n FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid    JOIN nsatlas AS n ON n.mjd = s.mjd and n.fiberID = s.fiberID and n.plate = s.plate WHERE p.petror9#_r > #   and p.ra between # and #   and s.z between # and #   and p.g < #"
2019-11-28 05:15:00,1
2019-11-28 06:41:00,1
2019-11-28 07:04:00,1
2019-11-28 09:49:00,1
2019-11-28 10:51:00,1
2019-11-28 11:13:00,1
2019-11-28 11:50:00,1
2019-11-28 11:51:00,1
2019-11-28 11:52:00,1
2019-11-28 14:00:00,2
2019-11-28 14:07:00,1
2019-11-28 14:09:00,1
2019-11-28 14:13:00,1
2019-11-28 14:15:00,1
2019-11-28 14:35:00,1
2019-11-28 15:43:00,1
2019-11-28 15:44:00,4
2019-11-28 15:53:00,2
2019-11-28 15:55:00,1
2019-11-28 15:56:00,1
2019-11-28 16:46:00,1
2019-11-28 17:58:00,1
