12,"SELECT TOP # u,g,r,i,z,ra,dec, flags_r  FROM Galaxy  WHERE  ra BETWEEN # and # AND dec BETWEEN # and #  AND ((flags_r & #) != #)  AND ((flags_r & #) = #)   AND (((flags_r & #) = #) or (psfmagerr_r <= #))  AND (((flags_r & #) = #) or (flags_r & #) = #)"
2019-12-05 00:15:00,1
2019-12-05 01:05:00,1
2019-12-05 01:08:00,1
2019-12-05 01:50:00,1
2019-12-05 03:00:00,1
2019-12-05 05:10:00,1
2019-12-05 10:30:00,1
2019-12-05 11:00:00,1
2019-12-05 11:06:00,1
2019-12-05 15:04:00,1
2019-12-05 19:02:00,1
2019-12-05 20:54:00,1
