15,"SELECT sl.plate, sl.mjd, sl.fiber,  sl.caIIKside, sl.caIIKerr, sl.caIIKmask,  sp.fehadop, sp.fehadopunc,sp. fehadopn,  sp.loggadopn,sp.loggadopunc,sp.loggadopn  FROM sppLines AS sl  JOIN sppParams AS sp ON sl.specobjid = sp.specobjid WHERE  fehadop < # and fehadopunc between # and #  AND fehadopn > #"
2019-12-05 00:14:00,1
2019-12-05 01:05:00,2
2019-12-05 01:49:00,1
2019-12-05 03:00:00,1
2019-12-05 05:09:00,1
2019-12-05 10:30:00,1
2019-12-05 10:59:00,1
2019-12-05 11:05:00,1
2019-12-05 11:09:00,1
2019-12-05 15:03:00,1
2019-12-05 19:09:00,1
2019-12-05 20:44:00,1
2019-12-05 20:53:00,2
