13,"SELECT  top #   p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g, p.r, p.i, p.z,    p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z    FROM fGetObjFromRect(#,#,#,#) n,   PhotoPrimary p    WHERE n.objID=p.objID"
2019-12-05 00:01:00,1
2019-12-05 02:24:00,1
2019-12-05 03:06:00,1
2019-12-05 09:01:00,1
2019-12-05 09:22:00,1
2019-12-05 09:49:00,1
2019-12-05 11:45:00,1
2019-12-05 12:02:00,1
2019-12-05 13:55:00,1
2019-12-05 16:24:00,1
2019-12-05 17:51:00,1
2019-12-05 17:52:00,1
2019-12-05 19:31:00,1
