1033,"SELECT sp.objid,sp.ra,sp.dec, sp.class, sp.z as redshift, ISNULL(m.k,#) as k , sp.dered_r, sp.camcol, sp.field, sp.run, sp.rerun FROM SpecPhoto AS sp JOIN apogeeOBJECT AS m ON sp.dec = m.dec WHERE sp.z ># AND sp.z < # AND sp.class = GALAXY&&&"
2019-12-06 01:20:00,31
2019-12-06 01:21:00,32
2019-12-06 01:22:00,32
2019-12-06 01:23:00,32
2019-12-06 01:24:00,31
2019-12-06 01:25:00,31
2019-12-06 01:26:00,32
2019-12-06 01:27:00,30
2019-12-06 01:28:00,33
2019-12-06 01:29:00,31
2019-12-06 01:30:00,32
2019-12-06 01:31:00,31
2019-12-06 01:32:00,32
2019-12-06 01:33:00,32
2019-12-06 01:34:00,32
2019-12-06 01:35:00,26
2019-12-06 17:49:00,23
2019-12-06 17:50:00,32
2019-12-06 17:51:00,31
2019-12-06 17:52:00,32
2019-12-06 17:53:00,31
2019-12-06 17:54:00,30
2019-12-06 17:55:00,31
2019-12-06 17:56:00,31
2019-12-06 17:57:00,31
2019-12-06 17:58:00,32
2019-12-06 17:59:00,31
2019-12-06 18:00:00,32
2019-12-06 18:01:00,32
2019-12-06 18:02:00,32
2019-12-06 18:03:00,32
2019-12-06 18:04:00,32
2019-12-06 18:05:00,5
2019-12-06 23:57:00,1
2019-12-06 23:59:00,32
