1440,select * from sqllogall2#_#_#_to_#_# where mm = # and dd = # and hh = #and mi = #
2019-12-12 16:38:00,35
2019-12-12 16:39:00,40
2019-12-12 16:40:00,40
2019-12-12 16:41:00,40
2019-12-12 16:42:00,39
2019-12-12 16:43:00,41
2019-12-12 16:44:00,39
2019-12-12 16:45:00,33
2019-12-12 16:46:00,34
2019-12-12 16:47:00,38
2019-12-12 16:48:00,39
2019-12-12 16:49:00,39
2019-12-12 16:50:00,40
2019-12-12 16:51:00,40
2019-12-12 16:52:00,40
2019-12-12 16:53:00,39
2019-12-12 16:54:00,40
2019-12-12 16:55:00,40
2019-12-12 16:56:00,39
2019-12-12 16:57:00,40
2019-12-12 16:58:00,40
2019-12-12 16:59:00,39
2019-12-12 17:00:00,33
2019-12-12 17:01:00,39
2019-12-12 17:02:00,39
2019-12-12 17:03:00,38
2019-12-12 17:04:00,38
2019-12-12 17:05:00,39
2019-12-12 17:06:00,38
2019-12-12 17:07:00,37
2019-12-12 17:08:00,39
2019-12-12 17:09:00,37
2019-12-12 17:10:00,36
2019-12-12 17:11:00,35
2019-12-12 17:12:00,36
2019-12-12 17:13:00,36
2019-12-12 17:14:00,34
2019-12-12 17:15:00,32
