686,"SELECT p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,s.z as redshift, s.zErr, s.zWarning, s.class, s.snMedian  FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra<(#) AND p.ra>(#)  AND p.dec<(#) AND p.dec>(#) AND p.type=# AND s.snMedian>#"
2019-12-20 08:29:00,7
2019-12-20 08:30:00,48
2019-12-20 08:31:00,49
2019-12-20 08:32:00,49
2019-12-20 08:33:00,46
2019-12-20 08:34:00,48
2019-12-20 08:35:00,47
2019-12-20 08:36:00,48
2019-12-20 08:37:00,44
2019-12-20 08:38:00,43
2019-12-20 08:39:00,42
2019-12-20 08:40:00,47
2019-12-20 08:41:00,48
2019-12-20 08:42:00,42
2019-12-20 08:43:00,45
2019-12-20 08:44:00,33
