44,"SELECT   p.objid,p.ra,p.dec,p.r,   s.specobjid,s.z,   dbo.fSpecZWarningN(s.zWarning) as warning,   s.plate, s.mjd, s.fiberid   FROM PhotoObj AS p   JOIN SpecObj AS s ON s.bestobjid = p.objid   WHERE   p.ra < #+# and p.ra > #-#   AND p.dec < #+# and p.dec > #-#"
2019-12-23 00:02:00,1
2019-12-23 00:05:00,1
2019-12-23 00:07:00,1
2019-12-23 00:11:00,1
2019-12-23 00:18:00,1
2019-12-23 00:21:00,1
2019-12-23 00:26:00,1
2019-12-23 00:29:00,1
2019-12-23 00:36:00,1
2019-12-23 00:48:00,1
2019-12-23 01:07:00,1
2019-12-23 01:11:00,1
2019-12-23 01:12:00,1
2019-12-23 01:19:00,1
2019-12-23 01:22:00,1
2019-12-23 01:27:00,1
2019-12-23 01:28:00,1
2019-12-23 01:32:00,1
2019-12-23 01:33:00,1
2019-12-23 01:44:00,1
2019-12-23 01:46:00,1
2019-12-23 01:55:00,1
2019-12-23 01:57:00,1
2019-12-23 01:58:00,1
2019-12-23 02:19:00,1
2019-12-23 02:22:00,1
2019-12-23 02:24:00,1
2019-12-23 02:29:00,1
2019-12-23 02:32:00,1
2019-12-23 02:37:00,1
2019-12-23 02:40:00,1
2019-12-23 02:47:00,1
2019-12-23 02:54:00,1
2019-12-23 02:57:00,1
2019-12-23 03:03:00,1
2019-12-23 03:09:00,1
2019-12-23 03:11:00,1
2019-12-23 03:15:00,1
2019-12-23 03:21:00,1
2019-12-23 03:25:00,1
2019-12-23 03:31:00,1
2019-12-23 03:42:00,1
2019-12-23 03:44:00,1
2019-12-23 03:48:00,1
