1490,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName=&&& order by [indexMapId]"
2019-12-31 01:02:00,3
2019-12-31 01:13:00,92
2019-12-31 03:26:00,110
2019-12-31 04:45:00,3
2019-12-31 05:08:00,42
2019-12-31 05:10:00,42
2019-12-31 05:22:00,42
2019-12-31 05:44:00,64
2019-12-31 05:54:00,112
2019-12-31 07:07:00,116
2019-12-31 08:46:00,42
2019-12-31 08:54:00,18
2019-12-31 09:08:00,124
2019-12-31 09:24:00,120
2019-12-31 11:00:00,114
2019-12-31 12:47:00,18
2019-12-31 13:42:00,112
2019-12-31 13:43:00,42
2019-12-31 13:45:00,1
2019-12-31 14:26:00,1
2019-12-31 15:53:00,152
2019-12-31 16:03:00,3
2019-12-31 23:29:00,18
2019-12-31 23:54:00,3
2019-12-31 23:59:00,96
